Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"B0003727-00, 0602498648384",Nirvana,With The Lights Out,"DGC, DGC","3xCD, Comp + DVD-V, PAL + Box",3,2004,372905,Uncategorized,2024-03-19 10:16:19,,,
DISP0004LP,Zaho De Sagazan,La Symphonie Des Éclairs,Disparate,"2xLP, Album, RE, RP",,2023,28363288,Uncategorized,2024-08-22 09:44:07,,,
DP003,La Femme (4),Psycho Tropical Berlin,Disque Pointu,"2xCD, Album, RE",,2013,5305310,Uncategorized,2025-07-17 23:53:08,,,
zod006,La Femme (4),Mystère,Disque Pointu,CD,,2016,9238738,Uncategorized,2025-07-17 23:51:37,,,
"WIGLP418, WIGLP418X",The Kills,God Games,"Domino, Domino","LP, Album, Ltd, Gre",4,2023,28710424,Uncategorized,2023-11-29 09:47:25,,,
0217872EMU,Alice Cooper,Live From The Astroturf,"Ear Music, Edel, Alive","LP, Album, Glo + DVD + Ltd, Num, RE",3,2022,24675347,Uncategorized,2023-03-18 03:35:58,,,
EES-036,Hermanos Gutiérrez (2),Sonido Cosmico,Easy Eye Sound,"LP, Album, Ltd, Pin",,2024,30970684,Uncategorized,2024-06-20 09:09:44,,,
"EKS-74007, EKL-4007",The Doors,The Doors,"Elektra, Elektra","LP, Album",4,1967,15345235,Uncategorized,2023-01-28 08:43:53,,,
0946 3861062 5,Various,La Môme (Original Soundtrack),EMI,"CD, Album",,2007,2995536,Uncategorized,2025-05-17 07:29:32,,,
"603497843510, RR1 317068",Various,Lost In Translation (Music From The Motion Picture Soundtrack),"Emperor Norton, Emperor Norton","LP, RE, RP",4,2022,21706189,Uncategorized,2023-08-25 09:22:03,,,
88875134501,The Jimi Hendrix Experience,Are You Experienced,"Experience Hendrix, Legacy, Sony Music","2xLP, Album, RE, RM, RP, 180",,2015,7577132,Uncategorized,2024-04-26 00:35:23,,,
4730367-7,Tame Impala,Currents,"Fiction Records, Caroline International, Universal Music","2xLP, Album, RE, Gat",,2022,22474430,Uncategorized,2024-07-03 08:50:34,,,
"3795299, MODVL128",Tame Impala,Innerspeaker,"Fiction Records, Caroline Records, Universal Music Group, Modular Recordings","2xLP, Album, RE",,2014,6403240,Uncategorized,2024-06-18 01:54:31,,,
"543 123-2, 543 123-2 (24)",The Cure,Bloodflowers,"Fiction Records, Polydor, Universal","CD, Album, RE",,0,3097771,Uncategorized,2025-06-27 07:13:42,,,
982 183-2,The Cure,Seventeen Seconds,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,2005,11103081,Uncategorized,2025-06-27 07:12:48,,,
